Sub-network,Date,Latency (ms), MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 5, 3, 7, 5, 5, 3, 5, 5, 5, 5, 3, 3, 3, 3, 7, 7, 3, 3, 5], 'e': [3, 4, 6, 6, 3, 4, 3, 4, 6, 6, 4, 6, 6, 6, 4, 6, 3, 4, 3, 6], 'd': [3, 3, 4, 4, 3], 'r': [224]}",2022-07-07 03:59:48.806808,0,465805784,78.072
"{'wid': None, 'ks': [7, 7, 7, 7, 7, 3, 5, 3, 3, 5, 3, 5, 5, 5, 7, 5, 3, 5, 7, 5], 'e': [3, 6, 6, 3, 4, 3, 3, 3, 4, 3, 3, 6, 4, 4, 4, 6, 4, 3, 3, 3], 'd': [3, 3, 4, 3, 3], 'r': [224]}",2022-07-07 04:01:35.907294,0,445353888,77.49
"{'wid': None, 'ks': [5, 3, 5, 5, 7, 7, 3, 7, 5, 5, 5, 5, 7, 5, 7, 5, 5, 7, 3, 5], 'e': [4, 4, 3, 6, 3, 4, 4, 3, 6, 3, 4, 6, 3, 4, 6, 3, 4, 4, 4, 3], 'd': [2, 3, 3, 4, 3], 'r': [224]}",2022-07-07 04:03:24.975496,0,383768768,77.746
"{'wid': None, 'ks': [3, 5, 3, 3, 3, 5, 5, 3, 7, 5, 3, 5, 3, 3, 5, 3, 5, 7, 5, 5], 'e': [4, 6, 4, 4, 6, 6, 3, 3, 4, 3, 6, 6, 4, 4, 6, 4, 3, 3, 6, 3], 'd': [3, 3, 4, 2, 3], 'r': [224]}",2022-07-07 04:05:11.490105,0,397122456,77.066
"{'wid': None, 'ks': [3, 3, 7, 3, 3, 7, 3, 7, 7, 5, 7, 3, 3, 3, 3, 5, 5, 5, 3, 7], 'e': [6, 3, 3, 6, 4, 4, 6, 4, 6, 3, 4, 4, 3, 3, 6, 6, 4, 6, 6, 4], 'd': [2, 2, 4, 3, 4], 'r': [224]}",2022-07-07 04:06:59.002202,0,386112064,77.836
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 3, 7, 3, 5, 5, 5, 7, 3, 5, 3, 5, 7, 5, 7, 3], 'e': [3, 4, 6, 6, 6, 4, 3, 4, 3, 3, 6, 6, 4, 6, 6, 3, 4, 6, 4, 3], 'd': [2, 3, 4, 2, 3], 'r': [224]}",2022-07-07 04:08:40.697826,0,368826656,77.548
"{'wid': None, 'ks': [7, 5, 5, 5, 3, 3, 5, 5, 3, 5, 5, 3, 5, 5, 7, 7, 7, 5, 7, 3], 'e': [6, 3, 4, 3, 6, 4, 3, 6, 3, 4, 4, 6, 4, 3, 3, 3, 4, 6, 6, 3], 'd': [2, 3, 3, 2, 4], 'r': [224]}",2022-07-07 04:10:22.091912,0,361779328,77.008
"{'wid': None, 'ks': [7, 3, 7, 5, 3, 5, 3, 5, 5, 3, 5, 5, 5, 3, 7, 3, 5, 7, 3, 7], 'e': [4, 4, 4, 4, 6, 3, 6, 4, 3, 3, 6, 4, 6, 3, 6, 4, 4, 4, 6, 3], 'd': [3, 3, 2, 4, 4], 'r': [224]}",2022-07-07 04:12:17.711083,0,451404992,78.0
"{'wid': None, 'ks': [3, 3, 3, 5, 5, 5, 7, 3, 3, 5, 3, 3, 5, 7, 3, 5, 7, 5, 7, 3], 'e': [3, 3, 6, 6, 6, 3, 3, 3, 4, 6, 3, 3, 6, 6, 4, 6, 3, 3, 6, 6], 'd': [2, 4, 4, 4, 4], 'r': [224]}",2022-07-07 04:14:24.118306,0,449928280,78.122
"{'wid': None, 'ks': [3, 7, 7, 5, 7, 3, 3, 5, 3, 3, 5, 5, 5, 7, 7, 7, 5, 7, 7, 5], 'e': [3, 3, 4, 4, 6, 3, 6, 6, 3, 3, 6, 3, 4, 6, 4, 6, 4, 6, 4, 6], 'd': [2, 3, 4, 4, 4], 'r': [224]}",2022-07-07 04:16:23.502787,0,466166112,78.376
